Income,Limit,Rating,Cards,Age,Education,Gender,Married,Ethnicity,Balance
2619,7114,512,2,54,13, Male,No,Asian,4259.8
3813,7075,514,4,62,13, Male,No,Asian,6992.99
4778,7075,514,4,50,13, Male,No,Asian,10479.92
3430,7167,515,2,64,15,Female,No,Asian,4579.74
958,7530,515,1,57,15, Male,Yes,Caucasian,1066.39
252,7530,515,1,55,14, Male,Yes,Caucasian,547.84
4079,7398,517,2,60,15, Male,Yes,African American,8026.98
2195,7398,517,2,57,14, Male,Yes,African American,2961.65
1057,7306,522,2,59,14, Male,No,Asian,1138.85
3679,7306,522,2,57,16, Male,No,Asian,6465.92
741,6906,527,6,51,13,Female,No,Caucasian,1505.68
1827,6906,527,6,61,14,Female,No,Caucasian,2608.84
2637,6906,527,6,57,17,Female,No,Caucasian,3921.32
4870,7576,527,2,53,12,Female,Yes,Caucasian,8452.16
750,7333,529,6,59,15,Female,Yes,Caucasian,1310.53
2625,7685,534,2,55,15,Female,Yes,Asian,3947.79
5091,7506,536,2,58,18,Female,Yes,Asian,9691.91
3385,7760,538,3,64,10,Female,No,African American,5523.96
1473,7555,547,3,66,15, Male,Yes,Asian,1834.64
3681,7416,549,3,56,14, Male,No,Asian,7233.1
1713,7667,554,2,56,13, Male,No,Asian,2428.66
3759,7667,554,2,54,13, Male,No,Asian,7321.2
2290,7838,563,2,44,12,Female,No,Caucasian,2564.5
2254,8047,569,4,58,12, Male,No,Caucasian,3072.14
2650,8244,579,3,63,12, Male,Yes,African American,3155.37
5257,8117,589,4,50,14, Male,Yes,Caucasian,11295.98
1732,8117,589,4,68,13, Male,Yes,Caucasian,1174.01
2386,8028,599,3,57,17, Male,Yes,Caucasian,3123.94
5521,8028,599,3,60,17, Male,Yes,Caucasian,13492.14
5082,8157,599,2,54,10, Male,Yes,Caucasian,12343.67
3918,8157,599,2,61,14, Male,Yes,Caucasian,7923.08
651,8494,607,5,61,17, Male,No,Caucasian,418.27
2249,8376,610,2,49,12, Male,No,African American,3751.62
5456,8603,621,3,69,13,Female,No,Caucasian,10718.32
5581,9113,626,1,58,13, Male,Yes,Asian,13634.11
5084,8760,633,5,61,14,Female,No,African American,10062.7
769,8760,633,5,62,15,Female,No,African American,1486.5
5409,8760,633,5,54,11,Female,No,African American,11118.45
1858,8732,636,3,56,14, Male,Yes,Caucasian,1894.44
1764,8732,636,3,55,12, Male,Yes,Caucasian,1791.78
1141,8732,636,3,58,16, Male,Yes,Caucasian,975.82
5016,9156,642,2,53,10,Female,Yes,Asian,10227.02
1705,9272,656,2,58,14, Male,No,Asian,2217.17
374,9310,665,3,55,13,Female,Yes,Asian,1016.06
417,9540,682,6,60,17, Male,No,Caucasian,500.76
507,9540,682,6,57,17, Male,No,Caucasian,564.77
814,9540,682,6,66,14, Male,No,Caucasian,802.96
5163,9540,682,6,52,14, Male,No,Caucasian,11867.13
5100,9824,685,3,55,14, Male,Yes,Asian,11946.58
5302,10278,707,1,60,18, Male,No,Caucasian,13360.41
1320,10384,728,3,55,14, Male,No,Caucasian,1796.19
565,10578,747,3,56,13,Female,Yes,Asian,1533.07
5089,10578,747,3,61,17,Female,Yes,Asian,10278.75
3174,10673,750,3,56,13, Male,No,Asian,4899.4
2634,10748,754,2,55,15, Male,No,Caucasian,4047.75
3442,10748,754,2,56,15, Male,No,Caucasian,6141.73
1006,11589,805,1,57,16,Female,Yes,Caucasian,1540.01
3467,11589,805,1,56,14,Female,Yes,Caucasian,5269.97
2129,11200,824,8,59,14, Male,Yes,African American,1630.25
